Game Version,Update Date,Team Avatar,Team Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/18/60.png,Chelsea,5,83,81,82,82,€85M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,20,33,27.18,23.48
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/19/60.png,Arsenal,1,82,82,79,80,€70M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,18,33,26.73,23.45
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/9/60.png,Manchester City,10,82,84,82,81,€100M,€0,Balanced,Normal,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,19,19,33,28.27,24.42
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/14/60.png,Manchester United,11,81,69,80,77,€80M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,20,33,23.64,23.45
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/18645/60.png,England,1318,80,81,79,80,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,20,16,23,24.36,24.22
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/8/60.png,Liverpool,9,79,81,79,79,€55M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,18,18,33,25.45,23.67
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/6/60.png,Tottenham Hotspur,18,79,82,78,79,€45M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,17,33,24.09,21.76
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/13/60.png,Everton,7,78,78,78,80,€25M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,16,33,26.18,24.36
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/20/60.png,Newcastle United,13,77,77,77,75,€35M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,16,33,24.64,23.94
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/26/60.png,Stoke City,1806,77,76,78,76,€30M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,14,33,26.55,24.91
FIFA 16,Sep 22 2016,https://cdn.sofifa.net/meta/team/65/60.png,Southampton,17,77,76,76,76,€32M,€0,Balanced,Little,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,13,14,33,25.91,23.21
