Game Version,Update Date,Team Avatar,Team Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/8/60.png,Liverpool,9,85,86,84,85,€95M,€3.5B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,9,33,27.73,24.82
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/9/60.png,Manchester City,10,85,84,87,86,€176M,€3.4B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,32,26.09,23.81
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/18/60.png,Chelsea,5,84,84,85,83,€85M,€2.7B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,8,33,27.36,24.39
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/14/60.png,Manchester United,11,83,82,83,81,€175M,€3.5B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,8,33,26.18,24.82
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/18645/60.png,England,1318,83,85,83,82,€0,€0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,23,26.09,24.43
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/6/60.png,Tottenham Hotspur,18,81,83,81,78,€72.5M,€2.3B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,33,25.45,22.88
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/19/60.png,Arsenal,1,80,77,80,77,€77.5M,€2.4B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,7,33,22.82,21.76
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/42/60.png,Leicester City,95,80,80,80,78,€50M,€562.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,6,31,24.09,25.39
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/1/60.png,West Ham United,19,79,80,79,77,€35M,€565M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,4,33,27.82,25.03
FIFA 22,Aug 18 2022,https://cdn.sofifa.net/meta/team/15/60.png,Aston Villa,2,78,79,78,79,€37.5M,€420.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,3,33,25.45,22.82
