Game Version,Update Date,Team Avatar,Team Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/9/60.png,Manchester City,10,84,85,87,83,€150M,€3B,Slow,Normal,Short,Free form,Normal,Little,Press,Medium,Normal,Cover,10,9,33,27.09,23.09
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/18/60.png,Chelsea,5,83,84,86,82,€93.4M,€2.5B,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,High,Normal,Cover,10,10,33,26.27,23.85
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/14/60.png,Manchester United,11,83,85,83,81,€169.2M,€3.6B,Balanced,Normal,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,10,10,33,26.55,23.39
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/6/60.png,Tottenham Hotspur,18,83,85,83,82,€71.4M,€2.3B,Balanced,Little,Mixed,Organised,Little,Little,Press,High,Normal,Cover,9,8,33,25.09,23.27
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/19/60.png,Arsenal,1,82,84,80,81,€90.7M,€2.4B,Slow,Normal,Short,Organised,Normal,Normal,Press,High,Narrow,Cover,9,9,33,27.55,23.24
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/18645/60.png,England,1318,82,84,81,81,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,8,23,25.00,24.65
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/8/60.png,Liverpool,9,81,85,81,80,€76M,€2.2B,Balanced,Lots,Mixed,Organised,Normal,Normal,Press,High,Normal,Cover,9,7,33,25.09,23.15
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/13/60.png,Everton,7,79,77,80,79,€64.4M,€1.4B,Balanced,Little,Mixed,Organised,Normal,Normal,Press,High,Normal,Cover,8,6,33,27.64,24.48
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/42/60.png,Leicester City,95,78,79,79,76,€53.7M,€1.1B,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,5,5,33,26.27,24.52
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/25/60.png,Watford,1795,77,78,77,75,€44.8M,€635M,Balanced,Lots,Mixed,Organised,Lots,Normal,Press,High,Normal,Offside trap,3,3,33,27.64,25.67
FIFA 18,Sep 12 2018,https://cdn.sofifa.net/meta/team/27/60.png,Burnley,1796,77,76,77,78,€40.7M,€540M,Balanced,Normal,Long,Organised,Normal,Lots,Press,Medium,Wide,Cover,3,3,33,27.09,25.82
