Game Version,Update Date,Team Avatar,Team Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/8/60.png,Liverpool,9,85,87,83,85,€103M,€2.1B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,10,33,25.73,24.39
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/9/60.png,Manchester City,10,85,87,86,83,€176M,€2.7B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,33,27.45,24.30
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/6/60.png,Tottenham Hotspur,18,82,85,82,82,€76M,€1.7B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,33,25.45,23.00
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/18645/60.png,England,1318,82,87,81,81,€0,€0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,23,23.18,24.35
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/18/60.png,Chelsea,5,81,80,84,81,€91M,€2B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,33,26.64,23.39
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/14/60.png,Manchester United,11,81,83,81,81,€177M,€3.4B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,33,23.91,23.27
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/19/60.png,Arsenal,1,80,84,82,78,€74M,€2B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,7,33,26.09,23.18
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/42/60.png,Leicester City,95,79,80,79,79,€45M,€441M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,6,33,25.18,24.45
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/13/60.png,Everton,7,78,80,78,79,€51M,€551.3M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,5,33,24.82,23.48
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/1/60.png,West Ham United,19,78,82,78,73,€51.5M,€682.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,4,33,25.91,25.36
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/29/60.png,Wolverhampton Wanderers,110,78,79,79,78,€42M,€388.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,2,33,26.64,22.52
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/25/60.png,Watford,1795,77,76,78,75,€38.5M,€415M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,3,33,27.64,25.64
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/51/60.png,Crystal Palace,1799,77,73,77,76,€34.5M,€418.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,2,33,29.18,25.21
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/20/60.png,Newcastle United,13,77,75,78,77,€25.5M,€462M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,3,33,26.00,25.82
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/15/60.png,Aston Villa,2,76,77,75,75,€37.5M,€401.6M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,2,33,25.09,24.36
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/27/60.png,Burnley,1796,76,77,76,76,€25M,€378.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,32,27.45,25.72
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/78/60.png,Brighton & Hove Albion,1808,76,75,76,76,€32M,€383.3M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,33,26.55,24.30
FIFA 20,Sep 23 2020,https://cdn.sofifa.net/meta/team/65/60.png,Southampton,17,76,76,76,76,€35M,€430.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,4,33,25.91,22.52
