Game Version,Update Date,Team Avatar,Team Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/18/60.png,Chelsea,5,83,82,82,81,€55M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,20,33,25.82,22.48
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/9/60.png,Manchester City,10,82,83,82,81,€80M,€0,Balanced,Normal,Short,Free form,Normal,Little,Press,Medium,Normal,Cover,18,19,33,28.55,24.70
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/14/60.png,Manchester United,11,81,85,80,75,€39M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,20,31,25.55,23.84
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/19/60.png,Arsenal,1,80,80,80,77,€35M,€0,Balanced,Normal,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,18,18,33,25.36,23.30
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/18645/60.png,England,1318,80,81,78,78,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,20,16,23,24.00,25.09
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/8/60.png,Liverpool,9,79,79,78,75,€40M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,18,33,23.00,22.91
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/13/60.png,Everton,7,78,78,78,78,€14M,€0,Balanced,Normal,Mixed,Organised,Little,Normal,Press,Medium,Normal,Cover,14,16,33,26.36,24.97
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/6/60.png,Tottenham Hotspur,18,78,78,77,77,€26M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,17,33,23.45,22.55
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/26/60.png,Stoke City,1806,76,76,75,74,€16M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,14,33,26.55,24.97
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/65/60.png,Southampton,17,76,77,75,76,€11M,€0,Balanced,Little,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,11,13,33,26.18,22.82
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/15/60.png,Aston Villa,2,75,72,74,74,€11.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,15,33,25.36,24.73
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/20/60.png,Newcastle United,13,75,74,75,74,€17M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,16,33,26.27,23.52
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/47/60.png,Queens Park Rangers,15,75,74,74,71,€10M,€0,Slow,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,14,33,28.91,24.91
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/1/60.png,West Ham United,19,75,75,74,72,€11M,€0,Fast,Normal,Mixed,Organised,Lots,Little,Press,Deep,Normal,Cover,13,14,33,25.64,24.45
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/30/60.png,Swansea City,1960,75,77,74,74,€9.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Deep,Normal,Cover,10,14,33,25.64,24.21
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/18654/60.png,Republic of Ireland,1355,74,74,75,71,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,10,23,28.36,27.74
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/3/60.png,Sunderland,106,74,76,73,72,€16M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,14,33,26.36,24.21
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/10/60.png,West Bromwich Albion,109,74,74,74,71,€9.5M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,14,33,27.91,24.36
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/51/60.png,Crystal Palace,1799,73,73,73,73,€9M,€0,Balanced,Normal,Long,Organised,Lots,Normal,Press,Medium,Normal,Cover,10,11,33,27.36,25.45
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/18706/60.png,Scotland,1359,73,76,72,70,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,9,23,27.73,27.57
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/22/60.png,Hull City,1952,73,75,73,70,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,11,33,27.27,24.97
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/33/60.png,Norwich City,1792,72,73,72,71,€6.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,13,30,27.09,25.13
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/53/60.png,Celtic,78,72,72,71,72,€7M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,11,30,24.00,23.50
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/42/60.png,Leicester City,95,72,71,72,68,€9.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,10,33,27.27,25.67
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/25/60.png,Watford,1795,70,70,70,68,€3.3M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,8,29,26.55,24.66
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/27/60.png,Burnley,1796,70,71,70,71,€7.5M,€0,Balanced,Little,Long,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,9,33,27.09,23.82
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/7/60.png,Middlesbrough,12,70,68,69,69,€3.5M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,10,30,26.00,24.30
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/24/60.png,Derby County,91,70,72,70,68,€3.3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,9,30,24.64,24.50
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/11/60.png,Fulham,144,70,72,68,68,€11M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Contain,Deep,Normal,Cover,13,14,30,25.55,23.47
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/18696/60.png,Northern Ireland,110081,69,69,69,67,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,5,23,27.36,26.43
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/17/60.png,Wigan Athletic,1917,69,68,67,68,€8.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,13,30,26.82,25.20
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/52/60.png,AFC Bournemouth,1943,69,69,69,68,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,5,30,26.82,24.97
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/69/60.png,Cardiff City,1961,69,68,68,70,€6.8M,€0,Balanced,Normal,Long,Organised,Normal,Normal,Press,Deep,Normal,Cover,11,8,30,25.09,24.00
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/23/60.png,Reading,1793,68,68,67,68,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,9,30,24.36,23.67
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/2/60.png,Blackburn Rovers,3,68,72,66,66,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,13,30,26.18,24.50
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/16/60.png,Bolton Wanderers,4,68,69,68,66,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,12,30,27.82,25.40
FIFA 15,Sep 10 2015,https://cdn.sofifa.net/meta/team/63/60.png,Nottingham Forest,14,68,69,68,68,€4.5M,€0,Fast,Normal,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,11,9,30,25.73,23.80
