Game Version,Update Date,Team Avatar,Team Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/9/60.png,Manchester City,10,85,85,87,83,€0,€4.1B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,26,27.73,25.27
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/8/60.png,Liverpool,9,84,84,81,85,€0,€4.2B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,9,33,26.55,25.00
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/18645/60.png,England,1318,84,85,83,82,€0,€0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,23,25.91,26.26
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/19/60.png,Arsenal,1,82,82,84,81,€0,€2B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,7,32,24.18,22.88
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/18/60.png,Chelsea,5,82,82,81,82,€0,€3B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,8,33,25.18,24.39
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/14/60.png,Manchester United,11,82,81,84,81,€0,€4.4B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,8,33,26.91,24.79
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/6/60.png,Tottenham Hotspur,18,81,84,80,79,€0,€2.2B,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,28,26.36,25.14
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/20/60.png,Newcastle United,13,80,79,80,80,€0,€455M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,3,33,26.91,25.39
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/15/60.png,Aston Villa,2,79,79,78,79,€0,€715.4M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,3,32,26.55,23.84
FIFA 23,Sep 11 2023,https://cdn.sofifa.net/meta/team/1/60.png,West Ham United,19,78,78,79,78,€0,€858.5M,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,5,32,28.73,24.66
